Question-ID,Question,Response,Physiological Data
835478,Have you changed anything about your appearance since Shashi disappeared?,I have not changed anything about my appearance since Shashi disappeared.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
962344,Have you noticed anyone following you or any unusual activity around your home or workplace?,I have not noticed anyone following me or any unusual activity around my home or workplace.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
430676,Has media coverage of this case impacted your personal or professional life?,The media coverage of this case has significantly impacted my personal and professional life. It has been a challenging time.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
707094,What has been the hardest part of being under investigation and on trial for you?,The hardest part of being under investigation and on trial is the impact on my reputation and the uncertainty about my future.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
884490,How will you move forward with your life if you are found not guilty?,"If found not guilty, I plan to rebuild my life and put this ordeal behind me.","Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
288736,Is there anything in your past that you regret or wish to atone for?,There is nothing in my past that I regret or need to atone for in relation to this case.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
295040,Do you maintain hope you will one day clear your name if found guilty?,"I maintain hope that I will clear my name, even if found guilty, because I am innocent.","Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
875251,What motivates you to keep fighting this case?,What motivates me to keep fighting this case is the truth and my unwavering belief in my innocence.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
662808,"If Shashi's family were here today, is there anything you would wish to say to them?","If Shashi's family were here today, I would express my sympathy for their loss and my commitment to finding the real perpetrator.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
343123,Is there any evidence you wish police had investigated further in this case?,I wish the police had investigated further into some specific evidence that could have exonerated me.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
235321,What weaknesses do you see in the prosecution's case against you?,"I believe there are weaknesses in the prosecution's case against me, such as the lack of concrete evidence linking me to the crime.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
734343,"Did you know Shashi well as a person - what were her interests, habits, and goals?","I did not know Shashi well as a person. We were acquaintances, and I did not have detailed knowledge of her interests, habits, and goals.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
173827,Would anything you know about Shashi's personal life have a bearing on this case?,"Anything I know about Shashi's personal life would not have a bearing on this case, as we were not close.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
916527,When did you first meet or get to know Shashi and under what circumstances?,"I first met Shashi a few weeks before she went missing in the village market, but we did not have a close relationship.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
